Артикул;Наименование;Группа;Статистика;Кол-во;Цена;Питер-5;Е;%
1400577;Абсорбер зад. бампера, а/м Астра Н сед.;General Motors;;1;160,63;1216,95;1071,63;567,15 
13412606;Амортизатор;General Motors;;1;2 280,78;3743,95;3316,16;45,40 
436387;Амортизатор задний левый, а/м Корса 1.2;General Motors;;1;815,50;;;
96494605;Амортизатор задний маслянный, а/м Авео Т200;General Motors;;2;439,49;1385,1;1219,7;177,53 
436325;Амортизатор задний, а/м Астра Н 1.6;General Motors;;6;522,70;;;
344857;Амортизатор перед Астра J;General Motors;;1;937,04;;;
344762;Амортизатор передний;General Motors;;1;927,94;;;
13412719;Амортизатор передний;General Motors;;1;1 085,30;4916,25;4378,17;303,41 
96586887;Амортизатор передний левый, а/м Авео Т200;General Motors;;2;658,55;2918,4;2584,94;292,52 
344077;Амортизатор передний левый, а/м Астра G;General Motors;;1;782,85;;;
344676;Амортизатор передний левый, а/м Зафира 2.0;General Motors;;1;747,36;;;
344654;Амортизатор передний левый, а/м Корса 1.2;General Motors;;1;825,43;10772,05;9699,3;1075,06 
344964;Амортизатор передний прав Астра J /2;General Motors;;1;1 042,79;;;
96980825;Амортизатор передний правый, а/м Авео 1.4л;General Motors;;2;673,66;3248,05;2876,92;327,06 
96586888;Амортизатор передний правый, а/м Авео Т200;General Motors;;2;690,79;6426,75;5739,19;730,82 
344076;Амортизатор передний правый, а/м Астра G;General Motors;;1;782,85;;;
13337807;Амортизатор передний, а/м Круз;General Motors;;1;905,14;9684,3;8719,88;863,37 
13337808;Амортизатор передний, а/м Круз;General Motors;;1;905,14;9684,3;8719,88;863,37 
25871206;Амортизатор передний, а/м Тахо;General Motors;;1;1 344,20;11175,8;10062,84;648,61 
176549;Бампер задний Insignia;General Motors;;1;1 691,03;;;
95460678;Бампер задний Авео Т300 хэтч б/з датчиков;General Motors;;1;1 513,61;6251,95;5583,09;268,86 
1404522;Бампер задний Астра Н;General Motors;;1;2 100,40;;;
1404556;Бампер задний АстраJ;General Motors;;1;3 108,81;3068,5;2717,89;-12,57 
52022595;Бампер задний Кобальт;General Motors;;1;1 160,58;7777,65;6964,22;500,06 
94824506;Бампер задний Круз седан под парктроники с 2009;General Motors;;2;1 312,37;;;
95479273;Бампер задний Круз седан с парктрониками до 2012;General Motors;;3;2 264,53;8294,45;7448,32;228,91 
96545559;Бампер задний Лачетти седан;General Motors;45;1;2 672,58;3479,85;3082,24;15,33 
96838453;Бампер задний Лачетти универсал;General Motors;;1;3 071,41;13537,5;12189,35;296,87 
96960447;Бампер задний Лачетти х/б;General Motors;;1;2 111,19;5704,75;5094,43;141,31 
96487906;Бампер задний Эпика;General Motors;;1;2 161,03;13086,25;11783,04;445,25 
1404230;Бампер задний, а/м Astra J;General Motors;;1;3 022,22;;;
1400479;Бампер перед;General Motors;;1;3 640,88;;;
1401102;Бампер передний Insignia;General Motors;;1;3 251,71;17434,4;15698,18;382,77 
1401124;Бампер передний Insignia;General Motors;;1;3 854,13;14696,5;13232,93;243,34 
1400368;Бампер передний Астра Н;General Motors;;1;2 300,95;;;
1400303;Бампер передний Астра Н;General Motors;;1;2 713,12;6099,95;5447,35;100,78 
95022993;Бампер передний Круз;General Motors;80;2;2 019,15;3599,55;3188,26;57,90 
95135073;Бампер передний Круз до ресталинга;General Motors;;2;2 592,66;5099,6;4541,45;75,17 
96547252;Бампер передний Лачетти сед./унив. 2005-2007г.;General Motors;;1;2 217,94;2841,45;2516,78;13,47 
1401111;Бампер передний Мокка;General Motors;;1;1 487,46;;;
95460370;Бампер передний Орландо;General Motors;;1;1 987,93;10238,15;9218,57;363,73 
95492653;Бампер передний Орландо;General Motors;;1;896,39;4146,75;3672,94;309,75 
95215562;Бачок радиатора расширительный;General Motors;;1;230,53;5173,7;4607,44;1898,59 
013013040603A;Бачок расширительный, а/м Корса B 1.2-1.4;General Motors;;1;79,10;;;
1450217;Бачок стеклоомывателя;General Motors;;1;302,10;;;
6450506;Бачок стеклоомывателя,;General Motors;;1;348,06;3571,05;3163,02;808,77 
11588743;Болт;General Motors;;1;23,65;20,9;18,3;-22,63 
423056;Болт М 12;General Motors;;2;33,67;;;
607960;Болт М10;General Motors;;2;4,75;168,15;147,24;2998,73 
11610596;Болт М12;General Motors;;1;37,33;311,6;272,85;630,85 
404803;Болт М12;General Motors;;4;36,04;221,35;193,82;437,81 
13231667;Болт М12;General Motors;;2;37,86;175,75;153,89;306,51 
684307;Болт М12;General Motors;;1;30,92;78,85;69,04;123,28 
94500987;Болт М12;General Motors;77;4;15,74;31,35;27,45;74,35 
1008504;Болт М12 крепления колеса к ступице;General Motors;;1;20,92;119,7;104,81;400,91 
436922;Болт М14;General Motors;;1;62,38;;;
2000395;Болт М14;General Motors;;1;47,25;;;
2005281;Болт М14;General Motors;;1;76,87;529,15;463,35;502,74 
2005282;Болт М14;General Motors;;1;93,82;641,25;561,51;498,52 
94580295;Болт М4;General Motors;;5;12,68;17,1;14,97;18,08 
94501534;Болт М6;General Motors;;10;7,27;10,45;9,15;25,82 
94501174;Болты крепления подрамника;General Motors;;6;24,55;53,2;46,58;89,72 
13386320;Вал приводной колеса, а/м Orlando;General Motors;;1;3 968,74;6831,45;6116,98;54,13 
